node1,node2,weight
APC,CDKN2A,0.9983774820182013
APC,CTNNB1,0.8460520096551625
APC,SMAD4,0.9999994051830782
APC,SMARCA4,0.9968873459907664
APC,SVEP1,0.928781374365308
APC,TP53,0.9845437048839383
APC,TTN,0.9855176944740158
ATM,CDKN2A,0.9799153958497924
ATM,KIT,0.5586393001269975
ATM,NR3C1,0.9178674727828378
ATM,SMAD4,0.9971832999620721
ATM,TP53,0.999386484100595
ATM,TTN,0.9998764686928369
CDKN2A,CTNNB1,0.7902174332454974
CDKN2A,IRF3,0.6493909316125703
CDKN2A,KIT,0.9024298740591881
CDKN2A,MARK2,0.9605149796727177
CDKN2A,RB1,0.9900410159907117
CDKN2A,SMAD3,0.9939319613534345
CDKN2A,SMAD4,1.0
CDKN2A,SMARCA4,0.9999939216435477
CDKN2A,SVEP1,0.999963653467681
CDKN2A,TAF1,0.8716103912399666
CDKN2A,TP53,1.0
CDKN2A,TTN,1.0
CDKN2A,YWHAE,0.7160467896133886
CDKN2A,YY1,0.296530090026478
CTCF,TP53,0.3629372004812925
CTNNB1,SMAD4,0.9926347594159424
CTNNB1,SMARCA4,0.9744325390847146
CTNNB1,SVEP1,0.9328347755024343
CTNNB1,TP53,0.8416989138991211
CTNNB1,TTN,0.9321977793411391
IRF3,TP53,0.9924669718392918
IRF3,TTN,0.6744578208446456
KIT,SMAD3,0.8158696033805611
KIT,TP53,0.9845062679551063
KIT,TTN,0.8852020300547784
MARK2,SMAD4,0.8030100220002804
MARK2,TP53,0.9993830449867679
MARK2,TTN,0.9988238649148025
MYC,TP53,0.9897401696748209
NR3C1,SMAD4,0.925322345529972
NR3C1,TP53,0.9191037522570229
RB1,SMAD3,0.9622336468001381
RB1,SMAD4,0.9223484704950835
RB1,TP53,0.9999999853957994
RB1,TTN,0.9906173934591018
RB1,YWHAE,0.7281747548794932
SMAD3,SMAD4,0.9938270976914959
SMAD3,TP53,0.9999699575269623
SMAD4,SMARCA4,0.9999914421889305
SMAD4,SVEP1,0.999994847540416
SMAD4,TAF1,0.9978227474304451
SMAD4,TP53,1.0
SMAD4,TTN,1.0
SMAD4,YY1,0.749343743402614
SMARCA4,TP53,0.9999999344532922
SMARCA4,TTN,0.8550546626002228
SVEP1,TP53,0.999760549314956
TAF1,TP53,0.9999998782644153
TAF1,TTN,0.6583911367318108
TAF1,YWHAE,0.41637572240392173
TP53,TTN,1.0
TP53,YWHAE,0.9741761395807842
TP53,YY1,0.9813768579677417
TTN,YWHAE,0.8696686618148952
TTN,YY1,0.05611913047284578
