node1,node2,weight
IRF3,RB1,0.0003093204091437251
IRF3,SP1,0.00013535124385565577
JUN,MYC,2.0004607249958617e-5
JUN,OCA2,2.11534218616564e-6
JUN,PAPPA2,2.12025100950821e-5
JUN,RBM10,0.00016472252579788972
JUN,SMAD4,0.0003648363637548961
JUN,SMARCA4,5.758424474050344e-5
JUN,YWHAE,3.237870631269917e-5
JUN,ZIC3,6.70578573895292e-6
KDM6A,PBX3,0.0007704724022855774
KDM6A,SMAD4,7.48985504139036e-6
KDM6A,SMAD9,0.0014747129172775963
KDM6A,SVEP1,2.3594076004169048e-5
LTBP1,RBM10,2.48134377454944e-5
MARK2,YWHAE,0.0005278593111759997
MARK2,ZIC3,8.25300063788401e-6
MYC,OCA2,0.0030854429254095787
MYC,RBM10,0.0003825326724918303
MYC,SMARCA4,0.0006470313607698561
MYC,SP1,4.607848746725772e-5
MYC,TAF1,0.0001499448643239995
MYC,YWHAE,0.00012333139326848897
MYC,ZIC3,2.264299882194236e-5
NLK,PAPPA2,2.56679664401466e-5
NLK,SMAD4,0.000780247697581857
NR3C1,SMAD3,0.0003471251938577809
NR3C1,SMARCA4,0.00032430227606164414
NR3C1,SVEP1,2.207274384754771e-5
OCA2,RBM10,2.83613116922943e-6
OCA2,SMARCA4,5.37424344321538e-6
OCA2,SP1,2.32892923334092e-6
OCA2,TAF1,2.52875131951402e-6
OCA2,YWHAE,2.49039280934956e-6
PAPPA2,SMAD3,2.54981051078186e-5
PAPPA2,SMAD4,0.0030871342785642425
PAPPA2,SMAD7,2.52878453403715e-5
PAPPA2,SMAD9,2.29246419805756e-5
PAPPA2,SP1,5.85310471870751e-5
PAPPA2,SVEP1,6.52351420049591e-5
PAPPA2,ZNF512B,0.0025450603841787583
PBX3,SP1,1.678490403851962e-5
RACGAP1,YY1,0.0003128089172968712
RB1,TAF1,0.0003882010055870228
RB1,ZIC3,8.18737547605881e-6
RYR3,SP1,0.000278233817628625
SMAD3,SMAD4,0.0006058573752369639
SMAD3,SVEP1,0.0017647066343111793
SMAD3,YY1,0.00046710825436486905
SMAD3,ZIC3,8.20984635858047e-6
SMAD4,SMAD7,0.0008473899737351702
SMAD4,SMAD9,0.0006629943085718619
SMAD4,SP1,0.0005774334021106112
SMAD4,SVEP1,6.892264341597679e-5
SMAD9,SVEP1,0.0014906009417365795
SMARCA4,SP1,0.00033340566421969953
SMARCA4,ZIC3,8.11938927636909e-6
SP1,ZIC3,7.6488765215501e-6
SVEP1,YY1,7.63476601504547e-6
TAF1,YWHAE,0.0003385759619564331
TAF1,ZIC3,2.535837094311691e-5
YWHAE,YY1,0.00014403221689009886
YWHAE,ZIC3,7.61925254207904e-6
YY1,ZIC3,1.47762530044113e-5
