node1,node2,weight
APC,CTNNB1,0.0004936053892529851
APC,MARK2,0.0006751871801042743
APC,TAF1,0.00047318963488960687
ATM,MYC,0.0005553790601394088
ATM,TAF1,0.0005285994032703454
ATM,TP53,0.0006552305629443047
CDKN2A,TP53,0.0004342061099325222
CTCF,MYC,2.1472288871925624e-5
CTNNB1,MYC,0.00029304469134217004
CTNNB1,SVEP1,3.44809326239033e-5
CTNNB1,TAF1,0.0005476311599695022
IRF3,KIT,0.0004023113568087422
IRF3,RB1,0.0003093204091437251
JUN,MYC,2.0004607249958617e-5
JUN,SMAD4,0.0003648363637548961
JUN,SMARCA4,5.758424474050344e-5
JUN,TP53,0.0003751242773518713
JUN,YWHAE,3.237870631269917e-5
MARK2,TP53,0.0007335920487013042
MARK2,YWHAE,0.0005278593111759997
MYC,SMARCA4,0.0006470313607698561
MYC,TAF1,0.0001499448643239995
MYC,TP53,0.0006204014264088905
MYC,TTN,0.000524051755053463
MYC,YWHAE,0.00012333139326848897
NR3C1,SMAD3,0.0003471251938577809
NR3C1,SMARCA4,0.00032430227606164414
NR3C1,SVEP1,2.207274384754771e-5
RB1,TAF1,0.0003882010055870228
RB1,TP53,0.0004797635961892652
SMAD3,SMAD4,0.0006058573752369639
SMAD3,SVEP1,0.0017647066343111793
SMAD3,TP53,0.0006256809421512637
SMAD3,YY1,0.00046710825436486905
SMAD4,SVEP1,6.892264341597679e-5
SMARCA4,TP53,0.0004291005985936976
SVEP1,TP53,9.17569636605636e-6
SVEP1,YY1,7.63476601504547e-6
TAF1,TP53,0.0005615846787053898
TAF1,YWHAE,0.0003385759619564331
TP53,YWHAE,0.000507617100193349
TP53,YY1,0.0014090145554597555
YWHAE,YY1,0.00014403221689009886
