node1,node2,weight
ACVR1B,CDKN2A,0.9984222360339648
ACVR1B,FBN2,0.9214779312454531
ACVR1B,GPNMB,0.8515191214059288
ACVR1B,HTRA1,0.9973347031069442
ACVR1B,KDM6A,0.9948657408353379
ACVR1B,RACGAP1,0.8129933948308471
ACVR1B,RYR3,0.9236680115555895
ACVR1B,SMAD3,0.3418704461803248
ACVR1B,SMAD4,0.9962493561374016
ACVR1B,SMARCA4,0.9324618349873547
ALKBH8,EGR1,0.013205041411213814
ALKBH8,SMAD4,0.9972794616514842
APC,CDKN2A,0.9983774820182013
APC,CTNNB1,0.8460520096551625
APC,FBN2,0.5821254923185704
APC,KDM6A,0.9692536074088534
APC,PAPPA2,0.9293360135283262
APC,SMAD4,0.9999994051830782
APC,SMARCA4,0.9968873459907664
APC,SP1,0.6099691584613914
APC,SVEP1,0.928781374365308
APC,ZIC3,0.8959935871846945
ATM,ATP2A1,0.6839965774927546
ATM,CDKN2A,0.9799153958497924
ATM,FBF1,0.8769436241007948
ATM,FBN2,0.6397118686711996
ATM,HNF1A,0.7753176730853552
ATM,KDM6A,0.9647942695589694
ATM,KIT,0.5586393001269975
ATM,LTBP1,0.7778280201197161
ATM,NR3C1,0.9178674727828378
ATM,RBM10,0.9820306704212712
ATM,RYR3,0.9139254607468287
ATM,SMAD4,0.9971832999620721
ATP2A1,CDKN2A,0.6396193205484169
ATP2A1,NR3C1,0.6360956717334918
ATP2A1,PAPPA2,0.3150863708037346
ATP2A1,SMAD4,0.2519106067104889
ATP2A1,YY1,0.8652192567472864
CDC25C,PAPPA2,0.47249569279541204
CDC25C,SMAD4,0.9998716091423219
CDC25C,TAF1,0.8848872685444455
CDKN2A,CTNNB1,0.7902174332454974
CDKN2A,FBN2,0.9915567457169717
CDKN2A,GPNMB,0.6554396279560828
CDKN2A,HNF1A,0.8971323546569644
CDKN2A,HTRA1,0.9169337677300539
CDKN2A,IRF3,0.6493909316125703
CDKN2A,KDM6A,0.9994685055859376
CDKN2A,KIT,0.9024298740591881
CDKN2A,LTBP1,0.7906980458014874
CDKN2A,MARK2,0.9605149796727177
CDKN2A,OCA2,0.9229587987106946
CDKN2A,PAPPA2,0.06833059412367803
CDKN2A,PBX3,0.6418443827194249
CDKN2A,RACGAP1,0.5259115973457205
CDKN2A,RB1,0.9900410159907117
CDKN2A,RBM10,0.9781418630452827
CDKN2A,RYR3,0.9999988470132392
CDKN2A,SMAD3,0.9939319613534345
CDKN2A,SMAD4,1.0
CDKN2A,SMAD7,0.7097534051074423
CDKN2A,SMAD9,0.6839569540309889
CDKN2A,SMARCA4,0.9999939216435477
CDKN2A,SP1,0.9583948845701893
CDKN2A,SVEP1,0.999963653467681
CDKN2A,TAF1,0.8716103912399666
CDKN2A,YWHAE,0.7160467896133886
CDKN2A,YY1,0.296530090026478
CDKN2A,ZNF512B,0.9039647370938101
CTCF,RYR3,0.6341394599810266
CTNNB1,OCA2,0.8194846986131549
CTNNB1,SMAD4,0.9926347594159424
CTNNB1,SMARCA4,0.9744325390847146
CTNNB1,SVEP1,0.9328347755024343
CUL4B,JUN,0.7846827618129222
CUL4B,KDM6A,0.7087779959196855
CUL4B,SMAD4,0.7268648898872871
CUL4B,SVEP1,0.5734476004131571
CUL4B,TAF1,0.7272914131994612
EGR1,GPNMB,0.5094175443748813
EGR1,SMAD4,0.014001488332902268
FAM46A,MARK2,0.5919552358818616
FAM46A,RACGAP1,0.6836684712134842
FAM46A,SP1,0.05587034500450294
FBF1,OCA2,0.4094946870734507
FBF1,PAPPA2,0.6168938864429366
FBF1,TAF1,0.8652882389499521
FBN2,HNF1A,0.25886370573949735
FBN2,KDM6A,0.8343577085578546
FBN2,KIT,0.8575873031740662
FBN2,OCA2,0.34851344274401486
FBN2,SMAD3,0.30945674623810104
FBN2,SMAD4,0.9883555073689935
FBN2,SMAD7,0.7999439128116357
FN1,RYR3,0.7891675965941869
FN1,SMAD4,0.966552693193816
FOXA1,SMAD4,0.6244741801013166
GPNMB,HTRA1,0.6102166768342899
GPNMB,KDM6A,0.5973304556224881
GPNMB,KIT,0.44905123817484094
GPNMB,RYR3,0.1108574684571575
HIST1H4D,RYR3,0.9240513961800693
HIST1H4D,SMAD4,0.9989350154063343
HNF1A,NR3C1,0.554236821901065
HTRA1,KDM6A,0.9216235756873459
HTRA1,SMAD3,0.991398097458057
HTRA1,SMAD4,0.9306854136599472
IRF3,KDM6A,0.7407196735720216
IRF3,RBM10,0.9049689130292935
KDM6A,MARK2,0.833910440545075
KDM6A,OCA2,0.9554789307809918
KDM6A,RBM10,0.9566142292155508
KDM6A,RYR3,0.19915042782825287
KDM6A,SMAD4,0.9999686446788373
KDM6A,TAF1,0.949073848941335
KDM6A,YWHAE,0.9186661754097587
KIT,SMAD3,0.8158696033805611
LTBP1,PBX3,0.7193572008712614
MARK2,RACGAP1,0.5103106734436278
MARK2,RBM10,0.935480383691004
MARK2,SMAD4,0.8030100220002804
MYC,PAPPA2,0.5735867086051657
NLK,RB1,0.7858121235664705
NR3C1,SMAD4,0.925322345529972
OCA2,PAPPA2,0.07157067877080137
OCA2,RYR3,0.567884304709758
OCA2,SMAD4,0.9996387332465235
OCA2,SMARCA4,0.5885049227541234
OCA2,SVEP1,0.8772523280881137
PAPPA2,RACGAP1,0.1381200657678856
PAPPA2,SMAD4,0.9999831174759204
PAPPA2,SMAD9,0.530501114419618
PAPPA2,TAF1,0.8484330289739416
PAPPA2,YY1,0.3102650151431582
PAPPA2,ZIC3,0.8708827197830311
RACGAP1,RYR3,0.8349574914947583
RACGAP1,SMAD4,0.9683208977546245
RACGAP1,SP1,0.04751888883816047
RB1,SMAD3,0.9622336468001381
RB1,SMAD4,0.9223484704950835
RB1,YWHAE,0.7281747548794932
RBM10,RYR3,0.9036550236388975
RBM10,SMAD4,0.9983991825309233
RBM10,SMARCA4,0.8107370376777062
RYR3,SMAD3,0.18186274227916932
RYR3,SMAD4,0.999952707734294
RYR3,SMARCA4,0.8964185728071857
RYR3,SP1,0.7515239011203204
SMAD3,SMAD4,0.9938270976914959
SMAD4,SMAD9,0.2885013074585139
SMAD4,SMARCA4,0.9999914421889305
SMAD4,SP1,0.8530020423992117
SMAD4,SVEP1,0.999994847540416
SMAD4,TAF1,0.9978227474304451
SMAD4,YY1,0.749343743402614
SMAD4,ZIC3,0.9827456548153516
SMAD4,ZNF512B,0.6845214432164557
SP1,SVEP1,0.9966888304986272
SVEP1,ZNF512B,0.7064625956419496
TAF1,YWHAE,0.41637572240392173
TAF1,ZIC3,0.5100708471890468
